Year,Team,Player,,Pass Completions,Pass Attempts,Comp %,Total Yards,Passing Yards/Attempt,,Passing Touchdowns,Passing Interceptions,Passer Efficiency Rating,Team,First Year Passer Rating,Conference Rank
2017,Bears,Mitchell Trubisky,,386,572,67.5,4762,8.3,9,41,10,157.6,North Carolina,77.5,2
2017,Chiefs,Patrick Mahomes,,857,1349,63.5,11252,8.3,8.8,93,29,152,Texas Tech,113.8,5
2017,Texans,Deshaun Watson,,814,1207,67.4,10168,8.4,8.7,90,32,157.5,Clemson,103,2
2017,Browns,DeShone Kizer,,422,695,60.7,5805,8.4,8.5,47,19,147.7,Notre Dame,60.5,2
2017,Giants,Davis Webb,,841,1367,61.5,9852,7.2,7.3,83,34,137.1,Texas Tech,75.8,5
2017,49ers,C.J. Beathard,,454,782,58.1,5562,7.1,7,40,19,129.8,Iowa,69.2,3
2017,Steelers,Joshua Dobbs,,614,999,61.5,7138,7.1,6.9,53,29,133.2,Tennessee,79.5,1
2017,Bills,Nathan Peterman,,398,662,60.1,5236,7.9,8.2,47,17,144.9,Pitt,39.4,2
2018,Browns,Baker Mayfield,,1026,1497,68.5,14607,9.8,10.6,131,30,175.4,Oklahoma,93.7,3
2018,Jets,Sam Darnold,,549,846,64.9,7229,8.5,8.7,57,22,153.7,USC,77.6,4
2018,Bills,Josh Allen,,365,649,56.2,5066,7.8,7.7,44,21,137.7,Wyoming,67.9,6
2018,Cardinals,Josh Rosen,,712,1170,60.9,9340,8,8,59,26,140.1,UCLA,66.7,4
2018,Ravens,Lamar Jackson,,619,1086,57,9043,8.3,8.5,69,27,142.9,Louisville,84.5,5
2018,Steelers,Mason Rudolph,,915,1447,63.2,13618,9.4,9.9,92,26,159.7,Oklahoma State,82,3
2018,Cowboys,Mike White,,863,1393,62,11262,8.1,8.1,74,31,142.9,Western Kentucky,75.1,6
2018,Titans,Luke Falk,,1403,2054,68.3,14481,7.1,7.4,119,39,142.8,Washington State,62.4,4
2019,Giants,Daniel Jones,,764,1275,59.9,8201,6.4,6.2,52,29,122.9,Duke,87.7,5
2019,Redskins,Dwayne Haskins,,413,590,70,5396,9.1,10.3,54,9,174,Ohio State,76.1,2
2019,Broncos,Drew Lock,,883,1553,56.9,12193,7.9,8,99,39,138.8,Missouri,89.7,1
2019,Panthers,Will Grier,,621,945,65.7,8556,9.1,9.7,81,23,165.2,West Virginia,33.2,3
2019,Bengals,Ryan Finley,,938,1461,64.2,11147,7.6,7.6,63,30,138.4,North Carolina State,62.1,5
2019,Patriots,Jarrett Stidham,,545,848,64.3,7217,8.5,9,48,13,151.4,Auburn,89.2,1
2019,Jaguars,Gardner Minshew,,761,1168,65.2,8266,7.1,7.4,62,20,138.7,Washington State,91.2,4
2019,Ravens,Trace McSorley,,720,1215,59.9,9899,8.1,8.5,77,25,144.5,Penn State,42.8,2
2020,Bengals,Joe Burrow,,650,945,68.8,8852,9.4,10.5,78,11,172.4,LSU,89.8,1
2020,Dolphins,Tua Tagovailoa,,474,684,69.3,7442,10.9,12.7,87,11,199.4,Alabama,87.1,1
2020,Chargers,Justin Herbert,,827,1293,64,10541,8.2,8.8,95,23,153.1,Oregon,98.3,5
2020,Packers,Jordan Love,,689,1125,61.2,8600,7.6,7.6,60,29,137.9,Utah State,68.7,6
2020,Eagles,Jalen Hurts,,682,1047,65.1,9477,9.1,9.7,80,20,162.6,Alabama,77.6,1
2020,Bills,Jake Fromm,,621,982,63.2,8224,8.4,9.1,78,18,156.1,Georgia,38.9,1
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
2017,Lions,Brad Kaaya,,720,1188,60.6,9968,8.4,8.6,69,24,146.2,Miami (FL),,
2017,Broncos,Chad Kelly,,503,786,64,6800,8.7,8.7,50,21,152.3,Ole Miss,,
2018,Giants,Kyle Lauletta,,,,,,,,,,,,,
2018,Jaguars,Tanner Lee,,,,,,,,,,,,,
2018,Patriots,Danny Etling,,563,973,57.9,7076,7.3,7.3,43,19,129.6,LSU,,
2018,Seahawks,Alex McGough,,807,1335,60.4,9091,6.8,6.5,65,37,128.2,Florida International,x,
2018,Bengals,Logan Woodside,,759,1166,65.1,10514,9,9.6,93,25,162.9,Toledo,x,
2019,Chargers,Easton Stick,,,,,,,,,,,,,
2019,Eagles,Clayton Thorson,,,,,,,,,,,,,
2020,Jets,James Morgan,,,,,,,,,,,,x,
2020,Jaguars,Jake Luton,,,,,,,,,,,,x,
2020,Titans,Cole McDonald,,616,1004,61.4,8032,8,8.3,70,24,146.8,Hawaii,x,
2020,Cowboys,Ben DiNucci,,91,167,54.5,1107,6.6,5.5,6,7,113.6,Pitt,,
2020,Saints,Tommy Stevens,,121,202,59.9,1459,7.2,7.4,15,6,139.1,Mississippi State,,
2020,Vikings,Nate Stanley,,,,,,,,,,,,,
2020,Colts,Jacob Eason,,468,782,59.8,5590,7.1,7.2,39,16,132.3,Washington,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,x,