Year,Team,Player,Weighted Prediction,Pass Completions,Pass Attempts,Comp %,Total Yards,Passing Yards/Attempt,,Passing Touchdowns,Passing Interceptions,Passer Rating,Conference Rank
2024,,Caleb Williams,105.53,735,1099,66.9,10082,9.2,10.3,93,14,169.3,2
2024,,Drake Maye,87.77,618,952,64.9,8018,8.4,9,63,16,154.1,5
2024,,Jayden Daniels,84.21,953,1438,66.3,12750,8.9,9.5,89,20,158.4,1
2024,,JJ McCarthy,83.85,482,713,67.6,6226,8.7,9.4,49,11,160.5,3
2024,,Bo Nix,96.15,1286,1936,66.4,15352,7.9,8.5,113,26,149.6,2
2024,,Michael Penix Jr.,75.99,1067,1685,63.3,13741,8.2,8.4,96,34,146.6,2
2024,,Spencer Rattler,73.11,900,1313,68.5,10807,8.2,8.3,77,32,152.2,1
2024,,Michael Pratt,93.02,730,1204,60.6,9611,8,8.5,90,26,148,6
2024,,Jordan Travis,81.28,633,1013,62.5,8644,8.5,9,65,19,151.6,5
2024,,Austin Reed,92.27,678,1073,63.2,8086,7.5,7.9,71,22,144.2,6
2024,,Joe Milton III,63.6,400,650,61.5,5353,8.2,8.6,37,11,146.1,1
2024,,Taulia Tagovailoa,73.23,964,1436,67.1,11356,7.9,7.8,77,37,146.1,3